TERM,DEFINITION
JOURNEY INTO HELL,"Dante’s descent into the inferno was anticipated by that of Aeneas in the Aeneid of Virgil as well as by the journey of Orpheus. Asín Palacios in his Escatología musulmana de la Divina Comedia (Madrid 1919)—quoted by Guénon—has suggested that the Florentine poet based the path which he traced as well as the pattern of the three worlds that he draws upon the two works of Mohiddin ibn Arabi (who preceded him by more than eighty years) entitled The Book of the Journey by Night and Revelations of Mecca (27). From the symbolic point of view and leaving aside the otherworldly implications of the two complementary universes—the “central level of manifestation” and the terrestrial—the Journey into Hell symbolizes the descent into the unconscious or the awareness of all the potentialities of being—cosmic and psychological—that are needed in order to reach the Paradisiac heights except that is the divinely chosen few who attain to these heights by the path of innocence. Hell fuses together the ideas of “crime and punishment,” just as purgatory embraces the notions of penitence and forgiveness."
JOURNEY OF THE SOUL,According to Hindu belief the individual upon freeing himself from the shackles of the manifest world follows a route which is the inverse of that path which he took when entering into it. Within this system of thought there are two possible paths which he may take: either that of the liberated (dêva-yâna or the “way of the gods”) or else that followed by those who still have further states of individuation to pass through (pitri-yâna or the “way of the ancestors”). As the Bhagavad-Gitâ observes: “At this juncture those who tend towards union without having actually achieved it leave manifest existence behind them some to return to it later others never to return. . . . Fire light day the crescent moon the half-year of the sun’s ascendence and its northerly course—these are the luminous signs which lead to Brahma those who acknowledge Brahma. Smoke night the waning moon the half-year when the sun descends towards the south—such are the signs that lead to lunar light and immediately to the return to states of manifestation” (26).
JOURNEY TO THE CENTRE OF THE EARTH,A return to the mother’s breast. It can also have sexual significance. Bachelard analysed Nerval’s Aurélia to this end: “I thought I had fallen into an abyss that spanned the globe.” And Nerval himself considers these areas of descent to have a biological quality born of “partly spiritualized” material. On the other hand Bachelard cites the symbol of molten metal which also appears in the works of other authors—such as William Blake—and symbolizes chthonic blood. Several books along these lines should be taken into account such as Mundus subterraneus by Athanasius Kircher Henry von Ofterdingen by Novalis and the self-same Journey to the Centre of the Earth by Jules Verne without forgetting the “descents” into the infernal zones of Virgil (Aeneid) and Dante (Divine Comedy). In these examples the symbol acquires dramatic significance due to location and because the image of a central fire coincides with the archaic idea of hell—which is what Nerval expresses in his Adoniram legend in Journey to the Orient.
JUDGEMENT DAY OF,The twentieth enigma of the Tarot pack representing the resurrection of the dead in the valley of Jehoshaphat when the angel of the Apocalypse sounds the last trump. This angel has a sun-symbol on his forehead and his golden hair further emphasizes his sun-symbolism. Death in the symbolic sense is equivalent to the death of the soul—to ignoring the transcendental aim of Man. The tomb is the body and fleshly desires. The angel by means both of his light and of his trumpet-call “awakens” the latent desire for resurrection in the man who has fallen into iniquity. The constellation which shows the closest affinity with this enigma is the Swan of Leda the harbinger of the final “Conjunction.” On the positive side this card stands for illumination regeneration healing and resurrection. On the negative side for hot-headedness and Dionysiac ecstasy (59).
JUICE,Juice or sap represents life-giving liquid. It is a sacrificial symbol connected with blood and also with light as the distillation of igniferous bodies suns and stars.
JUPITER,Among the Graeco-Roman gods he corresponds to the supreme virtues of judgement and will. As the lord of the sky his infernal counterparts are Pluto the lord of the chthonian world and Neptune as the lord of the deeps (symbolizing the unconscious). Jupiter’s attributes are the thunderbolt the crown the eagle and the throne (8).
JUSTICE,The eighth enigma of the Tarot this is an allegory of the idea of justice personified as an image rather like that of the Empress depicted full-face and symmetrical (this being symbolic of exact bilateral equilibrium) with a red tunic and a blue cloak. In one hand she holds up a pair of scales (symbolic of the equilibrium of good and evil) and in the other a sword (for psychic decisiveness and the Word of God). Her throne is like the Emperor’s massively stable. A crown with fleurons shaped like iron lances surmounts the headdress of this allegorical figure. The enigma is related to Libra the sign of the Zodiac and like it represents not so much external justice or social legality as inner judgement setting in motion the entire psychic (or psychosomatic) mechanism involved in the process of determining guilt; the idea behind this is basically the same as Weininger’s concept of sin as intrinsically indistinct from punishment. Astronomically speaking Justice is Astrea. In the positive sense this enigma denotes harmony a strict code of behaviour and firmness; in the negative sense restriction pettiness and craft (59).
KEY,As an attribute it pertains to several mythic characters including Hecate (31). It is symbolic of mystery or enigma or of a task to be performed and the means of carrying it out. It sometimes refers to the threshold of the unconscious (32). The key to knowledge corresponds within the cycle of the year to the month of June (healing). The conjunction of the symbols of the male dove and the key signifies the spirit opening the gates of heaven (4). The emblem formed by two keys sometimes placed over a heart relates to Janus (4). In legend and folklore three keys are often used to symbolize a like number of secret chambers full of precious objects. They are symbolic representations of initiation and knowledge. The first key of silver concerns what can be revealed by psychological understanding; the second is made of gold and pertains to philosophical wisdom; the third and last of diamond confers the power to act (38). The finding of a key signifies the stage prior to the actual discovery of the treasure found only after great difficulties. Clearly there is a morphological relationship between the key and the Nem Ankh sign (or “Eternal Life”)—the anserated cross of the Egyptians; their gods are sometimes shown holding this cross by the top as if it were a key especially in ceremonies concerning the dead. But it should perhaps be pointed out that in this case it is the keys that derive from the anserated cross the archetype of the key of Eternal Life that opens up the gates of death on to immortality.
KING,"In the broadest and most abstract sense the king symbolizes universal and archetypal Man. As such according to animistic and astrobiological ways of thought widespread from India to Ireland (21) he possesses magic and supernatural powers. He also expresses the ruling or governing principle supreme consciousness and the virtues of sound judgement and self-control (56). At the same time a coronation is equivalent to achievement victory and consummation (33). Hence any man may properly be called a king when he achieves the culminating point in the unfolding of his individual life. Deriving from and equated with the king-symbolism are the symbols for gold the sun and Jupiter. These symbols imply in essence the idea that the king is Man transposed to the solar plane to the ideal or “golden” situation—that is “saved” and made eternal. The idea of immortality was passed from god to monarch and only later was it vouchsafed to the hero and later still to ordinary mortals in so far as they merited the “crown” of success having overcome certain obstacles (usually of a moral order). The king quite apart from all this may also symbolize the “royalty”—or grandeur—of Man. In this case he may be subjected to a period of unfavourable or painful circumstances; when this is so the particular symbol becomes that of the “sick king” (like Amfortas in Parsifal) or of the “sea-king” (signifying the negative aspect of humanity) (32). Love also plays a highly important part in the symbolism of royalty since love is held to be one of the most obvious of culminating points in the life of Man. This is why the bride and bridegroom in the Greek marriage-ceremony wear crowns made of some precious metal. The king and queen together comprise the perfect image of the hieros gamos of the union of heaven and earth sun and moon gold and silver sulphur and mercury; and—according to Jung—they also signify the spiritual “conjunction” that takes place when the process of individuation is complete with the harmonious union of the unconscious and consciousness. The title of king is bestowed upon the most outstanding specimen in every species or type: so the lion is the king of beasts as is the eagle of birds or gold among the metals (57). To come back to the symbolism of the “sick king,” he—like such afflicted heroes as Philoctetes—signifies on the one hand the punishment which pursues sin as the shadow follows the body (given the existence of the light of consciousness) and on the other sterility of spirit. A particularly significant instance of the symbolic process is implied by the king’s projecting his spiritual state on to nature around him as happens with Amfortas in Parsifal in the Waste Land of Eliot and to some extent the Fall of the House of Usher by Poe. As for the “sea-king,” he is symbolic of the ocean (another version of Neptune) and therefore personifies the deeps of the unconscious in their regressive and evil form as opposed to the waters of the “Upper Ocean” (the clouds rain or fresh water) which are fecund (32). The “aged king”—such as Dhritarashtra the aged monarch of Vedic epics or King Lear or all those aged kings of legends and folktales—is symbolic of the world-memory or the collective unconscious in its widest and most all-embracing sense (38). The king often exhibits in concentrated form the characteristics of the father and the hero and there is a touch of the Messianic about him; by inversion of the temporal order of things what is past becomes “what is to pass” and the dead king is supposed by his subjects to be living a strange existence as a ghost later to return to his country when it is in great danger. This legend tends to accrue to the names of historical monarchs who have fallen in strange or unhappy circumstances as in the case of the Portuguese dom Sebastian or that of don Rodrigo the last of the Gothic kings. The supreme example is the mythic king Arthur called by Malory Arthurus rex quondam rexque futurus (q.v.) (16)."
KNIFE,A symbol which is the inversion of sword-symbolism. It is associated with vengeance and death but also with sacrifice (8). The short blade of the knife represents by analogy the primacy of the instinctive forces in the man wielding it whereas the long blade of the sword illustrates the spiritual height of the swordsman.
KNIGHT,"A symbol which confirms what we have suggested concerning the steed. He is the master the logos the spirit which prevails over the mount (that is over matter). But this is possible only after a lengthy period of apprenticeship which may be seen historically speaking as a real attempt to create in the knight a human type superior to all others. As a consequence the education of the knight was directed in part to strengthening him physically but in particular to developing his soul and spirit his affections (that is his morals) and his mind (that is his reason) in order to prepare him adequately for the task of directing and controlling the real world so that he might take his proper place in the hierarchies of the universe (that is in the feudal hierarchy ordered after the celestial pattern ranging from the baron up to the king). We also find mounted monks priests and laymen skilfully controlling their steed thereby demonstrating their allegiance to the spiritual (or symbolic) order of knighthood in deliberate competition with the historico-social order of knights. This is why in the bas-reliefs on the capitals in the cloister at Silos knights are shown bestriding goats. Now goats are symbolic of superiority because of their association with high peaks and Rabanus Maurus points out that knights mounted on goats must therefore be interpreted as saints (46). Of course the purpose of the assimilation of saint with knight is to magnify the symbolic worth of the knight as in the case of St. Ignatius Loyola. More profound examples of such assimilation are to be seen in that of the king and knight (King Arthur) or the king knight and saint (St. Ferdinand III of Spain or St. Louis IX of France). This knight-symbolism is common in all symbolic traditions. Ananda Coomaraswamy observes that “the ‘horse’ is a symbol of the bodily vehicle and the ‘rider’ is the Spirit: when the latter has come to the end of its incarnations the saddle is unoccupied and the vehicle necessarily dies” (60). By taking account of certain other orders of things analogous with chivalry including (particularly) alchemy (which was in fact a mediaeval technique of spiritualization) and also certain aspects of colour-symbolism we have been able to arrive at a system of analogies which we believe to be very helpful in explaining some of the more recondite aspects of the symbolism of knighthood. Mediaeval tales and legends often refer to a green white or red knight but most frequently of all to a black knight. Should we regard this as merely a matter of aesthetic appreciation of the colour in a literal and decorative sense? Or does the choice of colour proceed necessarily from a highly significant cause? The latter we think. In alchemy the rising scale of colours (the progressive evolutive scale) is: black white red (corresponding to prime matter mercury sulphur) with gold representing the hypothetical final stage. Conversely it can be said that the descending scale would be from blue to green that is descending from heaven to earth. These two colours stand for the celestial and the natural or terrestrial factors. Furthermore black is associated with sin penitence the withdrawal of the recluse the hidden rebirth in seclusion and sorrow; white with innocence (natural as well as that regained through expiation) illumination openheartedness gladness; and red with passion (moral or material—love or pain) blood wounds sublimation and ecstasy. We may therefore surmise that the Green Knight is the pre-knight the squire the apprentice sworn to knighthood; the Black Knight stands for him who undergoes the tribulations of sin expiation and obscurity in order to attain to immortality by way of earthly glory and heavenly beatitude; the White Knight (Sir Galahad) is the natural conqueror the “chosen one” of the Evangelists or the “illuminated one” reemerging from a period of nigredo; the Red Knight is the knight sublimated by every possible trial bloodied from every possible sacrifice supremely virile the conqueror of all that is base who having completed his life’s work is fully deserving of gold in its ultimate transmutation—glorification. Knighthood should be seen then as a superior kind of pedagogy helping to bring about the transmutation of natural man (steedless) into spiritual man. An important part was played in this symbolic tradition by prototypes such as the famous mythical knights of the court of King Arthur or patron saints such as St. George Santiago of Compostela or the archangel Michael. The practical means of achieving the knight’s ultimate goal consisted of corporeal exertions which were in effect not merely physical or material since the knight practised with all kinds of arms and these arms stood for symbolic potentialities; these practical exertions then led eventually to the inversion of the world of desire through the ascetic denial of physical pleasure—the very essence of knighthood—and the almost mystic cult of the beloved. The knight’s relative shortcomings while carrying out his sworn duties provide the explanation of the colour black which we have just examined. Nevertheless other explanations have also been advanced as for example that the knight is the “guardian of the treasure,” supplanting the monster he has conquered (the serpent or dragon). Clearly this symbolism is not opposed to that which we have proposed rather does it support it by emphasizing the essential mission of the knight’s service. Another interesting aspect of knight-symbolism—though in a way a negative one—can be seen in the use of the epithets “wandering” and “errant” in mediaeval tales legends and folklore. At times the adjective has a precise meaning at other times it is much more imprecise. In every case the wandering (or “errantry”) of the knight implies an intermediate position between the “saved” knight and the accursed hunter with the difference that the knight errant so far from being caught up in the pursuit of his desires is of course striving to master them—and this is what we had in mind when we observed that this aspect “in a way is a negative one.” Needless to say this symbolism of one who takes the dark and lonely path of expiation verifies our observation that the Black Knight is a symbol of withdrawal penitence and sacrifice."
KNOT,A complex symbol embracing several important meanings all of which are related to the central idea of a tightly closed link. It implies also the symbolism of the spiral and the sigmoid line (41). The sign for infinity—the horizontal figure 8—as well as the number 8 itself are at once interlacing and also knotted and this emphasizes the relationship of the knot with the idea of infinity—or rather with the manifestation of the infinite. It is comparable with the net the loop and the plait in that it expresses the concept of binding and fettering—a concept which is generally expressive of an unchanging psychic situation however unaware of his predicament the individual may be: for example that of the unliberated man who is “tied down” by the Uranian god. This is why the Flamen Dialis of the ancient Romans could not wear knots in his habits; and this is also true of the Moslems on their pilgrimages to Mecca (21). These magic associations of binding which form part of the symbolism of the knot are sometimes given literal expression in magical practices such as those of fishermen in the Shetland Islands who still believe that they can control the winds by the magic use of knots (21). A knotted cord forms a kind of closed ring or a circumference and hence it possesses the general significance of an enclosure and of protection. The “slip-knot” is a determinative sign in the Egyptian language entering into the composition of words such as calumny oaths or a journey. The meaning must have originated in the idea of keeping in touch with someone who is far away and there is unquestionably some connexion with the enigma of the Hanged Man in the Tarot pack (19). The “endless knot” is one of the eight Emblems of Good Luck of Chinese Buddhism representing longevity (5); the symbolism here has taken one aspect of the concept of the knot—that of pure connexion—and applied it to the biological and phenomenal planes. Finally the famous “Gordian knot” cut by Alexander the Great by virtue of his determination and his sword is a long-standing symbol of the labyrinth arising out of the chaotic and inextricable tangle of the cords with which it was tied. To undo the knot was equivalent to finding the “Centre” which forms such an important part of all mystic thought. And to cut the knot was to transfer the pure idea of achievement and victory to the plane of war and of existence.
LABOUR,All labour that is performed out of good faith constancy and the willingness to cooperate in collective tasks can be redressed with a mystical and symbolic sense. Legend has it that an Eastern shoemaker became a saint because through his work of sewing the two layers of soles together he had been perpetually “uniting the superior and the inferior.” In a way work is likened here to the slow and patient labour of the alchemist for whom transmutation is less the result of his operations than the spiritual attitude he adopts towards the process and the gifting of himself to that initiative.
LABRYS,The double axe is a symbol of power according to Charbonneau-Lassay in L’Esoterisme de quelques symbols géometriques chrétiens which founds a new age-old tradition; single in essence and double in its manifestation (creator destroyer). Other axial symbols have a similar meaning according to the same author.
LABYRINTH,"An architectonic structure apparently aimless and of a pattern so complex that once inside it is impossible or very difficult to escape. Or it may take the form of a garden similarly patterned. Ancient writings mention five great mazes: that of Egypt which Pliny located in lake Moeris; the two Cretan labyrinths of Cnossus (or Gnossus) and Gortyna; the Greek maze on the island of Lemnos; and the Etruscan at Clusium. It is likely that certain initiatory temples were labyrinthine in construction for doctrinal reasons. Ground-plans sketches and emblems of mazes appear fairly frequently over a very wide area but principally in Asia and Europe. Some are believed to have been conceived with the purpose of luring devils into them so that they might never escape. It is to be supposed therefore that for the Primitive the maze had a certain fascination comparable with the abyss the whirlpool and other phenomena (8). Nevertheless Waldemar Fenn suggests that some circular or elliptical labyrinths in prehistoric engravings—those at Peña de Mogor for example—should be interpreted as diagrams of heaven that is as images of the apparent motions of the astral bodies. This notion is not opposed to the previous one: it is independent of it and up to a point complementary because the terrestrial maze as a structure or a pattern is capable of reproducing the celestial and because both allude to the same basic idea—the loss of the spirit in the process of creation—that is the “fall” in the neoplatonic sense—and the consequent need to seek out the way through the “Centre,” back to the spirit. There is an illustration in De Groene Leeuw by Goosse van Wreeswyk (Amsterdam 1672) which depicts the sanctuary of the alchemists’ lapis encircled by the orbits of the planets as walls suggesting in this way a cosmic labyrinth (32). The emblem of the labyrinth was widely used by mediaeval architects. To trace through the labyrinthic path of a mosaic patterned on the ground was once considered a symbolic substitute for a pilgrimage to the Holy Land (28). Some labyrinths shaped like a cross known in Italy as “Solomon’s knot,” and featured in Celtic Germanic and Romanesque decoration are a synthesis of the dual symbolism of the cross and the labyrinth; they are known for this reason as the “emblem of divine inscrutability.” It is not difficult to make out in the centre of the pattern the figure of the swastika which adds to the basic symbolism a suggestion of rotating generating and unifying motion (4). For Diel the maze signifies the unconscious and also error and remoteness from the fount of life (15). Eliade notes that the essential mission of the maze was to defend the “Centre”—that it was in fact an initiation into sanctity immortality and absolute reality and as such equivalent to other “trials” such as the fight with the dragon. At the same time the labyrinth may be interpreted as an apprenticeship for the neophyte who would learn to distinguish the proper path leading to the Land of the Dead (17). The labyrinth can be experienced in the reality of the maze of streets in an unknown city especially ancient or oriental cities. Nerval was obsessed with the labyrinth and in his works he tries to experience it in this way as getting lost in a world that is equivalent with chaos."
LACING,An ornamental motif that may correspond with the symbol of enveloping which appears in numerous countries and periods though especially in Coptic Egypt in the Celtic world—especially Ireland where it reaches its greatest expression in gold and silver-smith work stone crosses and miniature codices such as the Lindisfarne Gospels or the Book of Kells and the Book of Durrow—as well as the Germanic and Scandinavian worlds. In the Nordic countries lacing around the doors can express abstractions that can’t be untangled (though incidentally decorated with the heads of animals). According to a few authors this motif comes from written art which moved from the west to the north on its way to the east. In Islam lacing bears a very different character; it loses the animalistic factor the vital irregularity of Northern Europe to take on geometrical networks.
LAKE,In the Egyptian system of hieroglyphs the schematic figure of a lake expresses the occult and the mysterious probably by allusion to the underground lake which the sun has to pass over during its “night-crossing” (but also simply by associating it with the symbolism of level given that water always alludes to the “connexion between the superficial and the profound”; a lake becomes then a fluid mass of transparency). In the temple of the god Amon at Karnak there was an artificial lake symbolizing hyle—or the “lower waters” of protomatter. And at certain times during the year a procession of priests would cross the lake in boats in this way re-enacting the “night-crossing” of the sun mentioned above (19). The symbolism here is the same broadly speaking as that of the watery deeps. The Irish and Breton belief that the Land of the Dead is at the bottom of the ocean or of lakes may be derived from watching the sun setting over the water; and the death of human beings and therefore by analogy the setting of the sun was interpreted as passing over into the nether world. But as we have suggested the structure of lake-symbolism may have arisen directly out of the symbolism of level; for this latter symbolism so deeply rooted in the psyche of man equates all that is on a low level spatially with what is low in a spiritual negative destructive and hence fatal sense. The fact that water-symbolism is closely connected with the symbolism of the abyss serves to corroborate the fatal implications of the lake-symbol for the part played by the liquid Element is to provide the transition between life and death between the solid and the gaseous the formal and the informal. At the same time the lake—or rather its surface alone—holds the significance of a mirror presenting an image of self-contemplation consciousness and revelation.
LAMB,The origins of the symbolism of the lamb are to be found in the Book of Enoch (32). It signifies purity innocence meekness (as well as unwarranted sacrifice). In allegories it lies at the root of representations of either pure thought or a just man or the Lamb of God (4). Pinedo however points to the interesting relationship between the lamb and the lion by inversion of their respective symbolic meanings. Examples of this are common in Christian symbolism especially during the Romanesque period; a good instance is that of a tympanum in the church at Armentia where the Agnus Dei is shown inside a circle (symbolizing the All or perfection) accompanied by the epigraph: “Mors ego sum mortis. Vocor Agnus sum Leo fortis” (I am the death of death. I am called a lamb I am a strong lion) (46). Its etymology suggests other symbolic meanings: Alleau in De la Nature des symboles (Paris 1958) proposes that agnus is related to the Greek agnos and therefore symbolizes the unknown; and that it is also related to agni (fire) and so is a sacrificial symbol of the periodic renovation of the world.
LAMIA,The mythic queen Lamia celebrated for her beauty was turned into a wild beast because of her cruelty. Ancient writings refer to lamias in the plural as beings similar to sirens found in the company of dragons in caves and deserts. In 1577 Johann Wier published an entire treatise upon these beings entitled De Lamiis Liber. According to Caro Baroja this belief in lamias still persists in Gascony. Their attribute is the gold comb—a fish skeleton perhaps?—with which they comb their hair (10). Legend has it that lamias are devourers of children (8). Jung has pointed out that the fact that “lamia” is also the word used for a huge and very voracious fish (from “lamos”—an abyss) verifies the connexion between the devouring lamias and the dragon-whale of the kind studied by Frobenius in Zeitalter des Sonnengottes (31).
LAMP,A symbol of intelligence and the spirit (56). It appears in this sense in the Greek myth of Psyche in the legend of Diogenes and in the hermit (the ninth enigma) of the Tarot pack (40). The lamps of the ancients were shaped according to their function—profane religious or funereal—and to suit the nature of the god to whom they were dedicated. There were lamps with twelve wicks symbolizing the Wheel of the Zodiac. And there were perpetually burning lamps such as that kept alight by the vestal virgins or that of the temple of Venus noted by St. Augustine (8).
LANCE,"A symbol of war and also a phallic symbol (8). It is a weapon of earthly character in contrast to the celestial implications of the sword. It is connected with the symbolism of the cup or chalice. Generally speaking the lance is comparable from the symbological point of view with the branch the tree the cross and all symbols pertaining to the valley-mountain axis. In the Libro del orden de caballería Raymond Lull expresses the belief that the lance is given to a knight as a symbol of rectitude. The “bleeding lance,” which appears in the legend of the Grail has sometimes been interpreted as the lance of Longinus relating it to that of the Passion. There are authors who reject this interpretation and see it rather as a general sacrificial symbol."
LANDSCAPE,"Logically speaking it may be deduced that the countryside—landscapes of all kinds—is the mundane manifestation of a dynamic complex which in origin was non-spatial. Inner forces are liberated to unfold as forms which disclose in themselves the qualitative and quantitative order of their inner tensions. Thus a mountain crest becomes a graphic sign. Let us take by way of illustration landscapes as they appear in dreams. Leaving aside the phenomenon of memory reminiscence or the complex association of various sense-data the scenes and towns which figure in dreams are neither arbitrary and indeterminate nor objective: they are symbolic—that is they well up in order to illuminate certain momentary experiences called forth by varying combinations of influences in varying degrees of intensity. Landscape-scenes arising in the imagination in this way are sustained solely by the validity duration and intensity of the feelings which aroused them. Form—just as in physical morphology—is the diagram of force. Now what we have said about landscapes in dreams can be applied also to an actual landscape seen and selected by an automatic response of the unconscious which detects in it an affinity that gives us pause and makes us return to it again and again. This then is a question not of a projection of the mind but of an analogy whereby the landscape is adopted by the spirit in consequence of the inner bond linking the character of the scene with the spirit of the observer himself. Subjectivism concerns only the act of choosing. The intellection of the significance of a landscape is then wholly objective as is the grasping of the symbolic values of colours and numbers. The Chinese saw this with the utmost clarity: as Luc Benoist has observed Chinese art has always placed more emphasis upon landscape than upon man (as a figure that is to say) and upon the macrocosm rather than the microcosm. “If the superior man loves the countryside,” to quote the words of Kuo Hsi “why is this so? Hills and gardens will always be the haunts of him who seeks to cultivate his original nature; fountains and rocks are a constant joy to him who wanders whistling among them . . .” (6). It is a well-established tradition of symbology that the different worlds (or zones) are strictly only different states of being. Hence the fact that the “chosen site” is the enshrining image which arises out of it. The “trysting place,” when it truly possesses that character and is not merely arbitrary or fortuitous signifies a meeting or “conjoining” in precisely this same sense—that is transposed into topographical or spatial terms (26). However revolutionary these assertions may seem they are nevertheless confirmed by the findings of the psychology of form and by isomorphism since it has been shown that it is not possible to distinguish between psychic and physical formal processes—other than externally. In support of all this there is the comment of Mircea Eliade that “In point of fact man never chooses a site he simply ‘discovers it’. . . . One of the means of discovering one’s situation is by orientation” (17). Now in order to grasp the symbolic sense of a landscape it is necessary to distinguish between the predominant elements and the merely incidental and between the character of the whole and the character of the component elements. When the predominant element is a cosmic one its effect is to bind all the other components together and it is this cosmic ingredient which makes its influence felt over and above that of the individual features of the landscape. Instances of such cosmic features are the sea the desert the icy wastes the mountain-peak clouds and sky. It is when the ingredients of landscape-symbolism are varied and evenly balanced that symbolic interpretation is most needed. The interpreter must then look for the following: (a) a spatial pattern organized within particular limits which endow it with a structure after the manner of a building or a work of art. By spatial symbolism we mean in the first place the symbolism of level that is the disposition of the zones of the landscape according to the three levels of the normal the lower and the higher; and secondly the symbolism of orientation that is the position of the accidental elements in relation to the north-south and the east-west axes. He must then bear in mind (b) the form—the pattern or the shape of the terrain whether it is undulating or broken steeply sloped or flat soft or hard; (c) the positional relationship of the particular area chosen to the region as a whole or to the zone surrounding it—whether it is lower or higher more open or more enclosed; and finally (d) the natural and artificial elements which make up the organized pattern: trees shrubs plants lakes springs wells rocks sandy shores houses steps benches grottoes gardens fences doors and gates. Also important is the predominating colour or the clash of colours or the general feeling of fecundity or barrenness of brightness or gloom of order or disorder. Roads and crossroads are of great significance and so are streams. About the objective meaning of each of the factors we have listed above there is much that we could say; however since the more important factors—such as the symbolism of level—are dealt with under separate headings we will here add no more than a few notes. Steepness indicates primitiveness and regression; flat country denotes the apocalyptic end the longing for power and for death. There is a Persian tradition that when the end of the world has come—when Ahriman is vanquished for ever—the mountains will be levelled and all the earth will become one great plain. Ideas cognate with this are to be found in certain traditions of Israel and France (35). It would not be hard to point to the history of architecture and town-planning as evidence of the subconscious application of these principles. Furthermore there are some aspects of landscapes which have a symbolic air about them that is very difficult to analyse intellectually. For instance the following descriptive passage from Dante’s Commedia has always seemed to us to evoke an atmosphere of profound mystery: “Around this little island in its lowest reaches there where it is lashed by the waves reeds grow in the soft mud” (Purgatorio I 100). Independent of the cosmic significance of landscape there may also be a sexual implication. It is also essential to bear in mind that this is not strictly a matter of symbols as such but of complex symbolic functions. For instance in scenes depicting low-lying topographical features the following factors may be at work: (a) depth in the sense of what is base comparable therefore with the wicked and infernal; (b) depth in the sense of what is symbolically profound; (c) depth as it pertains to the material earth itself implying a chthonian and maternal symbolism. Only the context can help us to tell the essence from the accessory—as is true also of the vast majority of symbols. Here we must bear in mind the primitive concept of the archetypal “ideal countryside.” Schneider has observed that the fact of there being so many identical names for rivers and mountains in different parts of the world suggests that megalithic ways of thought must have led to the custom of naming the topographical features of different regions after some ideal model. This model it may be argued could be the product of the lasting impression made upon the mind of Primitive Man by a particular environment endowed with such unity and variety as to prevent him from ever wishing to leave it; but it could also be explained as the projection of a psychic order founded upon laws comparable with those governing quaternary patterns or the mandala etc. Man’s attention was first drawn to the contraposition of heaven and earth by topographical features and he gave expression to this in the struggle between gods and Titans angels and demons and in the opposition of mountain and valley. Next he set out to explain the earth’s surface by means of the laws of orientation taking the four points of the compass from the apparent orbit of the sun as well as from the human anatomy and identifying them as ambivalent forces—ambivalent because they are at once hostile to things external and the defenders of their limits. As Schneider adds: “To preserve cosmic order the gods fought with the giants and the monsters which had from the very beginning of creation sought to devour the sun. They stationed the heroic lion on the celestial mountain. Four archers”—the tetramorphs—“are continuously on guard day and night against anyone who attempts to disrupt the order of the cosmos” (50). The stockade the wall or stone enclosure comments Eliade are among the oldest known parts of the structure of temples appearing as early as in proto-Indian civilizations such as that of Mohenjo-Daro and also in Crete (17). They owe their origins to the same basic primordial idea of the symbolism of landscape—its representation of cosmic order. The mountain with one peak is symbolic of the One—of transcendent purpose; the two-peaked mountain of Mars stands for the Gemini the world of appearances and the dualism of all forms of life. Both these symbolic mountains find their symbolic complement in the general pattern of archetypal landscape—also incidentally an image of the year; this pattern is composed of the river of life (denoting the positive phase) and the river of oblivion (the negative phase) which flow through the sea of flames (expressing infirmity) and well up from a single source (birth or the Origin). According to this scheme every landscape has a disastrous and a felicitous tendency corresponding on the temporal plane with the self-evident distinction between “coming” and “going” which in turn is analogous to the two halves of human existence. But quite apart from all this the symbolic interpretation of a landscape may be determined according to the laws governing diverse and individual correspondences as well as the overall significance derived from the complex of meanings afforded by its separate features. By way of an illustration of the many possibilities of interpreting the significance of a landscape we will conclude with some comments on Vallcarca with its characteristic low-lying features. The gardens are at a lower level than the city proper and screened from it by the vegetation which has something of the archaic and oriental about it. The main street leads north towards an open plain signifying the process of disintegration. On the other hand those streets which lead towards the mountain are on the favourable axis. In this case the interpretation is obvious enough as it is in all instances of scenes where it is possible to identify the essential features of archetypal landscape."
LANGUAGE OF THE BIRDS,The idea of there being a universal tradition is built upon the idea of a common primitive language which has been called the “language of the birds.” It is a symbolic designation that draws in certain legends like that of Siegfried who begins to understand the language of the birds (celestial messages) when he tastes the blood of the defeated dragon.
LANTERN,Like all “lights” that are independent of the Light—that which in other words is severed—the lantern symbolizes individual life in the face of cosmic existence transitory fact in the face of eternal truth “distraction” in the face of essence. This explains the magic use of lanterns. Because of its psychological interest we quote here a passage taken from a Chinese work of the Tang dynasty: “On the mid-Autumn feast-day the devil turned himself into a man ingratiated himself with women and children and led them off to secret places whence they could not escape (a death-symbol). Seeing that this demon was greatly persecuting the people the jurisconsult Bao-Cong informed the king of the matter and persuaded him to issue a decree to the effect that paper lanterns shaped like fishes should be hung at the entrances of the houses. In this fashion would the carp-demon deceived by these images leave the Hundred Families in peace” (13).
LAPIS LAZULI,In Mesopotamia it symbolizes the nocturnal sky as it also does in pre-Columbian America. According to Eliade fragments of lapis lazuli were found in some ancient tombs on an Ecuadoran island. They were shaped like cylinders and bear this same meaning.
LAUREL,A tree sacred to Apollo and expressive of victory. Laurel leaves were used to weave festive garlands and crowns. The crowning of the poet the artist or conqueror with laurel leaves was meant to represent not the external and visible consecration of an act but the recognition that that act by its very existence presupposes a series of inner victories over the negative and dissipative influence of the base forces. There is no achievement without struggle and triumph. Hence the laurel expresses the progressive identification of the hero with the motives and aims of his victory. An associated idea is the generic implication of fecundity pertaining to all vegetation-symbols.
